index,Rk,Player,Pos,Tm,Cap Hit
358,,Everson Griffen,DE,MIN,1900000
359,,Brad Nortman,P,JAX,1900000
360,,Landry Jones,QB,PIT,1900000
361,362,Odell Beckham,WR,NYG,1839027
362,363,Aaron Donald,DT,LAR,1802250
363,364,Rex Burkhead,RB,NWE,1800000
364,365,Telvin Smith,ILB,JAX,1797000
365,,Maurice Alexander,SS,LAR,1797000
366,,Michael Schofield,OT,LAC,1797000
367,,Devon Kennard,OLB,NYG,1797000
368,,William Compton,LB,WAS,1797000
369,,E.J. Gaines,CB,BUF,1797000
370,,Korey Toomer,ILB,LAC,1797000
371,,Donte Moncrief,WR,IND,1797000
372,,Kerry Wynn,DE,NYG,1797000
373,,John Brown,WR,ARI,1797000
374,,Avery Williamson,ILB,TEN,1797000
375,,Kevin Pamphile,OT,TAM,1797000
376,,Shamar Stephen,DT,MIN,1797000
377,,Russell Bodine,OG,CIN,1797000
378,,Anthony Hitchens,OLB,DAL,1797000
379,,Justin Ellis,DT,OAK,1797000
380,,Aaron Colvin,CB,JAX,1797000
381,,Damien Williams,RB,MIA,1797000
382,,Chris Hubbard,G,PIT,1797000
383,,Michael Thomas,S,MIA,1797000
384,,DaQuan Jones,DT,TEN,1797000
385,,Ryan Jensen,T,BAL,1797000
386,,Cameron Fleming,OT,NWE,1797000
387,,Terrance West,RB,BAL,1797000
388,,Charles Leno,OG,CHI,1797000
389,,Bashaud Breeland,CB,WAS,1797000
390,,Aaron Lynch,DE,SFO,1797000
391,,T.J. Carrie,CB,OAK,1797000
392,,Denico Autry,DE,OAK,1797000
393,,Andre Hal,CB,HOU,1797000
394,,Albert Wilson,WR,KAN,1797000
395,,Corey Linsley,C,GNB,1797000
396,,Nevin Lawson,CB,DET,1797000
397,398,Zach Fulton,OG,KAN,1788500
398,399,Spencer Long,OG,WAS,1787000
399,,Richard Rodgers,TE,GNB,1787000
400,401,Travis Swanson,C,DET,1772000
401,402,Preston Brown,ILB,BUF,1762000
402,403,Ryan Fitzpatrick,QB,TAM,1750000
403,,Alan Branch,DT,NWE,1750000
404,,Joe Hawley,G,TAM,1750000
405,,Allen Barbre,T,DEN,1750000
406,,Niles Paul,WR,WAS,1750000
407,,Matt Moore,QB,MIA,1750000
408,,Matt Cassel,QB,TEN,1750000
409,,Scott Tolzien,QB,IND,1750000
410,411,Ereck Flowers,OT,NYG,1743338
411,412,Kyle Fuller,CB,CHI,1740955
412,413,Jared Goff,QB,LAR,1719894
413,414,Ryan Shazier,OLB,PIT,1716438
414,415,Max Unger,C,NOR,1700000
415,,Zach Strief,G,NOR,1700000
416,,Larry Warford,OG,NOR,1700000
417,,A.J. Klein,ILB,NOR,1700000
418,,Ryan Hewitt,FB,CIN,1700000
419,,Luke Stocker,TE,2TM,1700000
420,421,Todd Gurley,RB,LAR,1691653
421,422,Carson Wentz,QB,PHI,1662561
422,423,Earl Mitchell,DT,SFO,1650000
423,,Josh Hill,TE,NOR,1650000
424,,Britton Colquitt,P,CLE,1650000
425,426,Zack Martin,OT,DAL,1642882
426,427,C.J. Mosley,ILB,BAL,1618365
427,428,Trae Waynes,CB,MIN,1611761
428,429,Giovani Bernard,RB,CIN,1600000
429,,Steven Hauschka,K,BUF,1600000
430,431,Eric Ebron,TE,DET,1590337
431,432,Calvin Pryor,FS,JAX,1587716
432,433,Ezekiel Elliott,RB,DAL,1584379
433,434,Ja'Wuan James,OT,MIA,1569327
434,435,Josh Martin,LB,NYJ,1550000
435,,Derek Anderson,QB,CAR,1550000
436,,Zach Brown,OLB,WAS,1550000
437,,Garrett Celek,TE,SFO,1550000
438,439,Desmond Trufant,CB,ATL,1526000
439,440,Austin Howard,T,BAL,1525000
440,441,Jalen Ramsey,FS,JAX,1511409
441,442,Keenan Robinson,OLB,NYG,1500000
442,,Bryan Anger,P,TAM,1500000
443,,Davon House,DB,GNB,1500000
444,,Shane Lechler,P,HOU,1500000
445,,Zach Miller,TE,CHI,1500000
446,,Jordan Poyer,CB,BUF,1500000
447,,Mike Gillislee,RB,NWE,1500000
448,,Kelvin Beachum,T,NYJ,1500000
449,,D.J. Fluker,OT,NYG,1500000
450,,Levine Toilolo,TE,ATL,1500000
451,,Jason McCourty,DB,CLE,1500000
452,,Lerentee McCray,LB,JAX,1500000
453,,Jahleel Addae,S,LAC,1500000
454,,Chris Hairston,OL,LAC,1500000
455,,Alejandro Villanueva,OL,PIT,1500000
